waardelijst,variabele,waardecode,waardeomschrijving
Geslacht,gesl,1,Man
Geslacht,gesl,2,Vrouw
Geslacht,gesl,3,Intersekse (hermafrodiet)
Indeling naar ja en nee,iacr,0,Nee
Indeling naar ja en nee,iacr,1,Ja
SES score (3 cat) obv mediaan inkomen in postcode van CBS,ink_ses,1,Laag inkomen (< 24.300 EUR)
SES score (3 cat) obv mediaan inkomen in postcode van CBS,ink_ses,2,Midden inkomen (24.300 – 31.000 EUR)
SES score (3 cat) obv mediaan inkomen in postcode van CBS,ink_ses,3,Hoog inkomen (> 31.000 EUR)
Indeling naar ja en nee,mal,0,Nee
Indeling naar ja en nee,mal,1,Ja
Vitale status,vit_stat,0,In leven
Vitale status,vit_stat,1,Overleden
Topografie,topo,C34,Bronchus en long
TopografieSublokalisatie,topo_sublok,C340,Hoofdbronchus
TopografieSublokalisatie,topo_sublok,C341,Long bovenkwab
TopografieSublokalisatie,topo_sublok,C342,Long middenkwab
TopografieSublokalisatie,topo_sublok,C343,Long onderkwab
TopografieSublokalisatie,topo_sublok,C348,Long overlappend
TopografieSublokalisatie,topo_sublok,C349,Long NNO
Lateralisatie,later,1,Links
Lateralisatie,later,2,Rechts
Lateralisatie,later,3,Mediaal/centraal
Lateralisatie,later,4,Dubbelzijdig
Lateralisatie,later,5,Proximaal
Lateralisatie,later,6,Distaal
Lateralisatie,later,7,Geopereerd orgaan
Lateralisatie,later,9,NVT
Lateralisatie,later,X,Onbekend
Morfologie,morf,8000,"Neoplasma, NNO"
Morfologie,morf,8010,"Carcinoom, NNO"
Morfologie,morf,8012,"Grootcellig carcinoom, NNO"
Morfologie,morf,8013,Grootcellig neuro-endocrien carcinoom
Morfologie,morf,8020,"Ongedifferentieerd carcinoom, NNO"
Morfologie,morf,8041,"Kleincellig carcinoom, NNO"
Morfologie,morf,8045,Gemengd kleincellig carcinoom
Morfologie,morf,8046,Niet-kleincellig carcinoom
Morfologie,morf,8070,"Plaveiselcelcarcinoom, NNO"
Morfologie,morf,8071,Verhoornend plaveiselcelcarcinoom
Morfologie,morf,8072,Niet-verhoornend (grootcellig) plaveiselcelcarcinoom
Morfologie,morf,8140,"Adenocarcinoom, NNO"
Morfologie (categorieën) long,morf_cat,0,Anders/Overig
Morfologie (categorieën) long,morf_cat,1,SCLC
Morfologie (categorieën) long,morf_cat,10,NoPath
Morfologie (categorieën) long,morf_cat,2,Squamous
Morfologie (categorieën) long,morf_cat,3,Adenocarcinoma (incl lepidisch)
Morfologie (categorieën) long,morf_cat,4,Adenosquamous
Morfologie (categorieën) long,morf_cat,5,Sarcomatoid
Morfologie (categorieën) long,morf_cat,6,Salivary
Morfologie (categorieën) long,morf_cat,7,Carcinoid
Morfologie (categorieën) long,morf_cat,8,LCNEC
Morfologie (categorieën) long,morf_cat,9,Large nos
Gedrag,gedrag,0,Benigne
Gedrag,gedrag,1,Borderline
Gedrag,gedrag,2,In situ
Gedrag,gedrag,3,Maligne
Gedrag,gedrag,6,Metastase
Gedrag,gedrag,9,Invasief of metastase
Differentiatiegraad,diffgrad,1,Graad 1 / goed gedifferentieerd
Differentiatiegraad,diffgrad,2,Graad 2 / matig gedifferentieerd
Differentiatiegraad,diffgrad,2A,Graad 2A
Differentiatiegraad,diffgrad,2B,Graad 2B
Differentiatiegraad,diffgrad,3,Graad 3 / slecht gedifferentieerd
Differentiatiegraad,diffgrad,4,Graad 4 / ongedifferentieerd / anaplastisch / GGG4
Differentiatiegraad,diffgrad,5,T-cel / GGG5
Differentiatiegraad,diffgrad,6,B-cel
Differentiatiegraad,diffgrad,7,Null-cel
Differentiatiegraad,diffgrad,8,NK-cel
Differentiatiegraad,diffgrad,9,Onbekend
ct,ct,0,0
ct,ct,1,1
ct,ct,1A,1A
ct,ct,1B,1B
ct,ct,1C,1C
ct,ct,1MI,1MI
ct,ct,2,2
ct,ct,2A,2A
ct,ct,2B,2B
ct,ct,3,3
ct,ct,4,4
cn,cn,0,0
cn,cn,1,1
cn,cn,2,2
cn,cn,2A,2A
cn,cn,2B,2B
cn,cn,3,3
cn,cn,4,4
cn,cn,X,X
cm,cm,0,0
cm,cm,1,1
cm,cm,1A,1A
cm,cm,1B,1B
cm,cm,1C,1C
cm,cm,1C1,1C1
cm,cm,1C2,1C2
cm,cm,X,X
pt,pt,0,0
pt,pt,1,1
pt,pt,1A,1A
pt,pt,1B,1B
pt,pt,1C,1C
pt,pt,1MI,1MI
pt,pt,2,2
pt,pt,2A,2A
pt,pt,2B,2B
pt,pt,3,3
pt,pt,3A,3A
pn,pn,0,0
pn,pn,1,1
pn,pn,1A,1A
pn,pn,1M,1M
pn,pn,2,2
pn,pn,2A,2A
pn,pn,2B,2B
pn,pn,3,3
pn,pn,X,X
pm,pm,-,-
pm,pm,0,0
pm,pm,1,1
pm,pm,1A,1A
pm,pm,1B,1B
pm,pm,1C,1C
pm,pm,1C1,1C1
pm,pm,1C2,1C2
pm,pm,X,X
cstadium,cstadium,0,0
cstadium,cstadium,1,1
cstadium,cstadium,1A,1A
cstadium,cstadium,1A1,1A1
cstadium,cstadium,1A2,1A2
cstadium,cstadium,1A3,1A3
cstadium,cstadium,1B,1B
cstadium,cstadium,2,2
cstadium,cstadium,2A,2A
cstadium,cstadium,2B,2B
cstadium,cstadium,3A,3A
cstadium,cstadium,3B,3B
pstadium,pstadium,0,0
pstadium,pstadium,1,1
pstadium,pstadium,1A,1A
pstadium,pstadium,1A1,1A1
pstadium,pstadium,1A2,1A2
pstadium,pstadium,1A3,1A3
pstadium,pstadium,1B,1B
pstadium,pstadium,2,2
pstadium,pstadium,2A,2A
pstadium,pstadium,2B,2B
pstadium,pstadium,3A,3A
pstadium,pstadium,3B,3B
stadium,stadium,0,0
stadium,stadium,1,1
stadium,stadium,1A,1A
stadium,stadium,1A1,1A1
stadium,stadium,1A2,1A2
stadium,stadium,1A3,1A3
stadium,stadium,1B,1B
stadium,stadium,2,2
stadium,stadium,2A,2A
stadium,stadium,2B,2B
stadium,stadium,3A,3A
stadium,stadium,3B,3B
Eod,ceod,1,Niet invasief/in situ
Eod,ceod,2,Beperkt tot het orgaan van oorsprong
Eod,ceod,3,Uitbreiding in aangrenzende organen/weefsels
Eod,ceod,4,Metastase in regionale lymfeklieren
Eod,ceod,5,Combinatie 3 en 4
Eod,ceod,6,Metastase op afstand
Eod,ceod,9,NVT
Eod,ceod,X,Onbekend/onvoldoende informatie
Eod,peod,1,Niet invasief/in situ
Eod,peod,2,Beperkt tot het orgaan van oorsprong
Eod,peod,3,Uitbreiding in aangrenzende organen/weefsels
Eod,peod,4,Metastase in regionale lymfeklieren
Eod,peod,5,Combinatie 3 en 4
Eod,peod,6,Metastase op afstand
Eod,peod,9,NVT
Eod,peod,X,Onbekend/onvoldoende informatie
Basisdiagnose,diag_basis,0,Alleen overlijdensverklaring
Basisdiagnose,diag_basis,1,Klinisch
Basisdiagnose,diag_basis,2,Klinisch onderzoek
Basisdiagnose,diag_basis,3,Exploratieve chirurgie of obductie
Basisdiagnose,diag_basis,4,Specifieke tumormarkers
Basisdiagnose,diag_basis,5,Cytologie
Basisdiagnose,diag_basis,6,Histologische bevestiging metastasen
Basisdiagnose,diag_basis,7,Histologie
Basisdiagnose,diag_basis,8,Cytogenetica en/of moleculaire testen
Basisdiagnose,diag_basis,9,Onbekend
Indeling naar ja en nee,longtum_voor,0,Nee
Indeling naar ja en nee,longtum_voor,1,Ja
TopografieSublokalisatie,meta_topo_sublok,C220,Lever primair
TopografieSublokalisatie,meta_topo_sublok,C341,Long bovenkwab
TopografieSublokalisatie,meta_topo_sublok,C343,Long onderkwab
TopografieSublokalisatie,meta_topo_sublok,C348,Long overlappend
TopografieSublokalisatie,meta_topo_sublok,C349,Long NNO
TopografieSublokalisatie,meta_topo_sublok,C384,Pleura NNO
TopografieSublokalisatie,meta_topo_sublok,C412,Bot wervelkolom
TopografieSublokalisatie,meta_topo_sublok,C413,Bot rib/sternum/clavicula
TopografieSublokalisatie,meta_topo_sublok,C414,Bot bekkenbeenderen/sacrum/coccygis
TopografieSublokalisatie,meta_topo_sublok,C418,Overlappende lokalisaties bot/gewrichten/kraakbeen
TopografieSublokalisatie,meta_topo_sublok,C419,Bot NNO
TopografieSublokalisatie,meta_topo_sublok,C711,Hersenen frontaal kwab
Topografie,meta_topo,C17,Dunne darm
Topografie,meta_topo,C22,Lever en intrahepatische galwegen
Topografie,meta_topo,C25,Pancreas
Topografie,meta_topo,C34,Bronchus en long
Topografie,meta_topo,C38,"Hart, mediastinum en pleura"
Topografie,meta_topo,C40,"Bot, gewrichten, kraakbeen van extremiteiten"
Topografie,meta_topo,C41,"Bot, gewrichten, kraakbeen overige en NNO loc"
Topografie,meta_topo,C42,Hematopoietisch en reticulo-endotheliaal stelsel
Topografie,meta_topo,C44,Huid
Topografie,meta_topo,C48,Retroperitoneum en peritoneum
Topografie,meta_topo,C49,Weke delen
Topografie,meta_topo,C50,Mamma
"Indeling naar ja, nee en onbekend",multifoc,0,Nee
"Indeling naar ja, nee en onbekend",multifoc,1,Ja
"Indeling naar ja, nee en onbekend",multifoc,9,Onbekend
PD-L1-receptorwaarde (%) in categorieën,pdl1_cat,0,Negatief of <1%
PD-L1-receptorwaarde (%) in categorieën,pdl1_cat,1,1-49%
PD-L1-receptorwaarde (%) in categorieën,pdl1_cat,2,50-89%
PD-L1-receptorwaarde (%) in categorieën,pdl1_cat,3,90-100%
PD-L1-receptorwaarde (%) in categorieën,pdl1_cat,9,Onbekend
Indeling naar ja en nee,smplc,0,Nee
Indeling naar ja en nee,smplc,1,Ja
Sulcus superior,sulc_sup,0,nee
Sulcus superior,sulc_sup,1,ja
Instelling,contact_zkh1,100,*Medisch Centrum Alkmaar
Instelling,contact_zkh1,243,Reinier de Graaf
Instelling,contact_zkh1,246,Medisch Centrum Leeuwarden
Instelling,contact_zkh1,248,Elkerliek ziekenhuis
Instelling,contact_zkh1,265,Ziekenhuis Gelderse Vallei
Instelling,contact_zkh1,268,*Ziekenhuis Rijnstate
Instelling,contact_zkh1,269,Medisch Spectrum Twente
Instelling,contact_zkh1,282,Martini Ziekenhuis
Instelling,contact_zkh1,286,*Kennemer Gasthuis
Instelling,contact_zkh1,297,Amphia
Reden voor diagnostiek,diag_reden,1,klachten
Reden voor diagnostiek,diag_reden,2,screening
Reden voor diagnostiek,diag_reden,3,surveillance
Reden voor diagnostiek,diag_reden,4,toeval
Reden voor diagnostiek,diag_reden,5,screening hoog risico/erfelijke belasting
Reden voor diagnostiek,diag_reden,7,overig
Reden voor diagnostiek,diag_reden,9,onbekend
Soort moleculaire diagnostiek,mol_diag_type,1,IHC
Soort moleculaire diagnostiek,mol_diag_type,2,ctDNA
Soort moleculaire diagnostiek,mol_diag_type,3,"single testing (FISH, PCR)"
Soort moleculaire diagnostiek,mol_diag_type,4,NGS op weefsel
Soort moleculaire diagnostiek,mol_diag_type,5,WGS op weefsel
Uitslag navigatiebronchoscopie,navbroncho_uitslag,0,negatief
Uitslag navigatiebronchoscopie,navbroncho_uitslag,1,positief
Uitslag navigatiebronchoscopie,navbroncho_uitslag,9,onbekend/niet representatief
Instelling,navbroncho_zkh,128,Ikazia Ziekenhuis
Instelling,navbroncho_zkh,139,Maasziekenhuis Pantein
Instelling,navbroncho_zkh,265,Ziekenhuis Gelderse Vallei
Instelling,navbroncho_zkh,270,Rode Kruis Ziekenhuis
Instelling,navbroncho_zkh,282,Martini Ziekenhuis
Instelling,navbroncho_zkh,291,Albert Schweitzer Ziekenhuis
Instelling,navbroncho_zkh,295,Maasstad Ziekenhuis
Instelling,navbroncho_zkh,297,Amphia
Instelling,navbroncho_zkh,301,Bravis ziekenhuis
BvD voor start behandeling,ther_diag_basis,1,klinisch
BvD voor start behandeling,ther_diag_basis,2,klinisch onderzoek
BvD voor start behandeling,ther_diag_basis,4,specifieke tumormarkers
BvD voor start behandeling,ther_diag_basis,5,cytologie
BvD voor start behandeling,ther_diag_basis,6,histologische bevestiging metastase
BvD voor start behandeling,ther_diag_basis,7,histologie
BvD voor start behandeling,ther_diag_basis,8,cytogenetica en/of moleculaire testen
uitslag punctie,tt_punctie_uitslag,0,negatief
uitslag punctie,tt_punctie_uitslag,1,positief
